,days_since,year,num_claims,sqrt_claims,topics,ncites,sqrt_ncites,xi
6427,1638,2006,29,5.385164807134504,"coat, polym",1.0,1.0,4.713337367182909
6428,1638,2006,34,5.830951894845301,"coat, polym",1.0,1.0,2.28404401778135
6429,1645,2006,8,2.8284271247461903,"coat, polym",5.0,2.23606797749979,-1.3054068715318556
6436,1652,2006,15,3.872983346207417,"coat, polym",0.0,0.0,2.1210292723072626
6438,1652,2006,10,3.1622776601683795,"coat, polym",0.0,0.0,1.7394861373886703
6443,1659,2006,18,4.242640687119285,"coat, polym",3.0,1.7320508075688772,2.007809925667123
6446,1666,2006,28,5.291502622129181,"coat, polym",1.0,1.0,0.09292990414699046
6447,1666,2006,26,5.0990195135927845,"coat, polym",1.0,1.0,0.9240519592765558
6450,1673,2006,7,2.6457513110645907,"coat, polym",1.0,1.0,0.2949719958276219
6452,1673,2006,49,7.0,"coat, polym",1.0,1.0,2.3893833249020195
6453,1673,2006,35,5.916079783099616,"coat, polym",1.0,1.0,0.645123828133021
6456,1680,2006,25,5.0,"coat, polym",1.0,1.0,0.2016265570760384
6457,1680,2006,36,6.0,"coat, polym",6.0,2.449489742783178,-0.7188070003990235
6458,1687,2006,14,3.7416573867739413,"coat, polym",4.0,2.0,-1.9075033498089162
6459,1687,2006,7,2.6457513110645907,"coat, polym",2.0,1.4142135623730951,-3.0889383595799194
6464,1694,2006,3,1.7320508075688772,"coat, polym",0.0,0.0,0.4908276143392284
6466,1701,2006,2,1.4142135623730951,"coat, polym",0.0,0.0,0.6048278729279346
6467,1701,2006,9,3.0,"coat, polym",0.0,0.0,0.9851071834828163
6468,1701,2006,15,3.872983346207417,"coat, polym",0.0,0.0,-2.467680144288531
6475,1715,2006,2,1.4142135623730951,"coat, polym",1.0,1.0,0.43095563543616655
6476,1715,2006,1,1.0,"coat, polym",0.0,0.0,3.457409313403709
6479,1715,2006,12,3.4641016151377544,"coat, polym",0.0,0.0,-5.319518786300051
6480,1715,2006,19,4.358898943540674,"coat, polym",2.0,1.4142135623730951,3.457409313403709
6483,1729,2006,8,2.8284271247461903,"coat, polym",1.0,1.0,-2.859532780758378
6486,1736,2006,11,3.3166247903554,"coat, polym",0.0,0.0,-0.8187014501738101
6487,1736,2006,2,1.4142135623730951,"coat, polym",5.0,2.23606797749979,-1.4680324094715302
6489,1743,2006,33,5.744562646538029,"coat, polym",1.0,1.0,2.9084414482871557
6492,1743,2006,12,3.4641016151377544,"coat, polym",2.0,1.4142135623730951,-1.9166683710894574
6497,1750,2006,13,3.605551275463989,"coat, polym",1.0,1.0,0.6894790671308569
6498,1757,2006,6,2.449489742783178,"coat, polym",0.0,0.0,-1.7928158935276306
6500,1757,2006,4,2.0,"coat, polym",4.0,2.0,-3.131462018077257
6503,1764,2006,9,3.0,"coat, polym",1.0,1.0,3.3614157812605576
6508,1764,2006,24,4.898979485566356,"coat, polym",1.0,1.0,0.26822705206978176
6513,1771,2006,37,6.082762530298219,"coat, polym",1.0,1.0,-2.3120119623849282
6514,1771,2006,24,4.898979485566356,"coat, polym",3.0,1.7320508075688772,-3.0928608850786414
6520,1792,2006,14,3.7416573867739413,"coat, polym",1.0,1.0,2.229640777166552
6523,1799,2006,56,7.483314773547883,"coat, polym",1.0,1.0,-4.491414050860817
6524,1799,2006,28,5.291502622129181,"coat, polym",0.0,0.0,0.08900783706862969
6525,1799,2006,20,4.47213595499958,"coat, polym",0.0,0.0,3.701121301264841
6536,1827,2006,24,4.898979485566356,"coat, polym",9.0,3.0,0.17494690661780676
6539,1827,2006,4,2.0,"coat, polym",0.0,0.0,3.564696125530508
6541,1827,2006,31,5.5677643628300215,"coat, polym",0.0,0.0,2.089899259046461
6544,1834,2006,6,2.449489742783178,"coat, polym",0.0,0.0,2.716712815711517
6547,1834,2006,30,5.477225575051661,"coat, polym",1.0,1.0,-1.7831762084872367
6554,1848,2006,6,2.449489742783178,"coat, polym",0.0,0.0,3.5974564770990627
6559,1855,2006,32,5.656854249492381,"coat, polym",2.0,1.4142135623730951,1.9152211990564152
6561,1855,2006,29,5.385164807134504,"coat, polym",4.0,2.0,3.336464342909343
6564,1862,2006,4,2.0,"coat, polym",1.0,1.0,-1.8079441592557812
6566,1869,2006,12,3.4641016151377544,"coat, polym",2.0,1.4142135623730951,5.601653291318472
6567,1869,2006,24,4.898979485566356,"coat, polym",13.0,3.605551275463989,4.300748545407909
6571,1883,2006,18,4.242640687119285,"coat, polym",1.0,1.0,2.772971430026563
6575,1890,2006,4,2.0,"coat, polym",1.0,1.0,-1.7232935939553184
